title,description,imageUrl,price
Louis Vuitton Signature Calfskin Leather Backpack - Black,"The epitome of quiet luxury, this Louis Vuitton backpack is crafted from calfskin leather in a rich black tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/mens-bag/all?lock=2390620748,8180.00
Gucci Icon Lambskin Leather Tote Bag - Taupe,"Handfinished by master artisans, this Gucci tote bag is crafted from lambskin leather in a rich taupe tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/mens-bag/all?lock=3979142054,3380.00
Chanel Capsule Saffiano Leather Garment Bag - Emerald,"A timeless investment piece, this Chanel garment bag is crafted from saffiano leather in a rich emerald tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/mens-bag/all?lock=2487545089,3775.00
Hermès City Suede Duffel Bag - Blush Pink,"Designed to elevate everyday elegance, this Hermès duffel bag is crafted from suede in a rich blush pink tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/mens-bag/all?lock=4196528313,3760.00
Prada Vintage Monogram Canvas Travel Bag - Midnight Blue,"Born from decades of atelier craftsmanship, this Prada travel bag is crafted from monogram canvas in a rich midnight blue tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/mens-bag/all?lock=920217754,6180.00
Dior Legacy Grained Leather Messenger Bag - Chocolate,"An icon of modern refinement, this Dior messenger bag is crafted from grained leather in a rich chocolate tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/mens-bag/all?lock=457642754,8400.00
Saint Laurent Elite Patent Leather Crossbody Bag - Silver,"Crafted for the discerning collector, this Saint Laurent crossbody bag is crafted from patent leather in a rich silver tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/mens-bag/all?lock=1770688178,5315.00
Fendi Heritage Crocodile-Embossed Leather Document Holder - Gold,"A statement of understated luxury, this Fendi document holder is crafted from crocodile-embossed leather in a rich gold tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/mens-bag/all?lock=2307299572,2845.00
Bottega Veneta Riviera Python-Embossed Leather Weekender Bag - Red,"The epitome of quiet luxury, this Bottega Veneta weekender bag is crafted from python-embossed leather in a rich red tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/mens-bag/all?lock=2942331922,1430.00
Balenciaga Grand Smooth Leather Belt Bag - Olive,"Handfinished by master artisans, this Balenciaga belt bag is crafted from smooth leather in a rich olive tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/mens-bag/all?lock=760401704,4465.00
Burberry Atelier Quilted Leather Briefcase - Grey,"A timeless investment piece, this Burberry briefcase is crafted from quilted leather in a rich grey tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/mens-bag/all?lock=2598701302,7620.00
Versace Prestige Nappa Leather Laptop Bag - Ivory,"Designed to elevate everyday elegance, this Versace laptop bag is crafted from nappa leather in a rich ivory tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/mens-bag/all?lock=1065065669,2785.00
Givenchy Muse Calfskin Leather Backpack - Camel,"Born from decades of atelier craftsmanship, this Givenchy backpack is crafted from calfskin leather in a rich camel tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/mens-bag/all?lock=2828388102,7520.00
Valentino Reserve Lambskin Leather Tote Bag - Burgundy,"An icon of modern refinement, this Valentino tote bag is crafted from lambskin leather in a rich burgundy tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/mens-bag/all?lock=3910578909,7945.00
Celine Monogram Saffiano Leather Garment Bag - Navy,"Crafted for the discerning collector, this Celine garment bag is crafted from saffiano leather in a rich navy tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/mens-bag/all?lock=470480796,7505.00
Loewe Milano Suede Duffel Bag - Beige,"A statement of understated luxury, this Loewe duffel bag is crafted from suede in a rich beige tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/mens-bag/all?lock=2640899658,2705.00
Miu Miu Mini Monogram Canvas Travel Bag - Tan,"The epitome of quiet luxury, this Miu Miu travel bag is crafted from monogram canvas in a rich tan tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/mens-bag/all?lock=3377153927,2455.00
Chloé Editions Grained Leather Messenger Bag - Brown,"Handfinished by master artisans, this Chloé messenger bag is crafted from grained leather in a rich brown tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/mens-bag/all?lock=1284296217,5325.00
Tom Ford Couture Patent Leather Crossbody Bag - Black,"A timeless investment piece, this Tom Ford crossbody bag is crafted from patent leather in a rich black tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/mens-bag/all?lock=736947962,1370.00
Salvatore Ferragamo Nouveau Crocodile-Embossed Leather Document Holder - Taupe,"Designed to elevate everyday elegance, this Salvatore Ferragamo document holder is crafted from crocodile-embossed leather in a rich taupe tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/mens-bag/all?lock=192841478,2410.00
Alexander McQueen Signature Python-Embossed Leather Weekender Bag - Emerald,"Born from decades of atelier craftsmanship, this Alexander McQueen weekender bag is crafted from python-embossed leather in a rich emerald tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/mens-bag/all?lock=3876452334,4080.00
Marc Jacobs Icon Smooth Leather Belt Bag - Blush Pink,"An icon of modern refinement, this Marc Jacobs belt bag is crafted from smooth leather in a rich blush pink tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/mens-bag/all?lock=1901420334,8195.00
Jimmy Choo Capsule Quilted Leather Briefcase - Midnight Blue,"Crafted for the discerning collector, this Jimmy Choo briefcase is crafted from quilted leather in a rich midnight blue tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/mens-bag/all?lock=1091527095,4115.00
Christian Louboutin City Nappa Leather Laptop Bag - Chocolate,"A statement of understated luxury, this Christian Louboutin laptop bag is crafted from nappa leather in a rich chocolate tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/mens-bag/all?lock=459295067,2005.00
