title,description,imageUrl,price
Dolce & Gabanna L'imperatrice 3 Pour Femme - 100 ml,"Perfume for the energetic woman who is a hero in her movie in life every day! It keeps you vibrant and sparkling with irresistible attractiveness, a combination of kiwi, lemon and sandalwood.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/4/3423473020615-dolce-_-gabbana-l_imperatrice-01_1_.png,199
Roberto Cavalli Paradiso - 50 ml,"Woody floral fragrance, a subtle aroma that makes you feel fresh with a stunning blend of citrus, jasmine, and cypress.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-roberto-cavalli-paradiso---75-ml.jpg,169
Yves Saint Laurent Libre - 90 ml,"This perfume is a reflection of Freedom, specially designed for bold women, for those who live by their own rules, to enjoy the unique fusion of French lavender & orange blossoms from Morrocco. A statement of freedom with an additional whiff of daring musky notes.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272648418c-yves-saint-laurent-libre---90-ml_1_.jpg,389
Mancera Red Tobacco - 120 ml,"Mancera Red Tobacco is the new oriental, woody fragrance for men and women. Its the best oriental scent, full of life and attractiveness. This perfume contains a very high quality ingredients. A must have perfume!:",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3607347733423c-mancera-red-tobacco---120-ml.jpg,499
Giorgio Armani Emporio Armani Stronger With You Intensely - 100 ml,"for every romantic gentle man, This strong fascinating fragrance is for you. It was released to capture all people hearts from the first smell to tell a story of an outstanding emotional man who is deeply in love and is ready to do anything for their lovers.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272225718-giorgio-armani-emporio-armani-stronger-with-you-intensely.jpg,399
Versace Eros Pour Femme EDP - 100 ml,"A woody floral fragrance, embodying love and beauty for the Greeks, that lasts long and is made of a blend of high-quality notes of peony, sensual wood, musk, and jasmine.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace-eros_pour_femme_1.jpg,229
Roberto Cavalli Florence - 50 ml,"A chypre floral fragrance inspired by the city of Florence that known of its historical, artistic and cultural beauty, with a mixture of mandarin, grapefruit, patchouli, and amber.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614223519576c-roberto-cavalli-florence---75-ml.jpg,167
Xerjoff Casamorati La Tosca - 100 ml,"XERJOFF Casamorati La Tosca Perfume an amazing for women, such perfect works of art! You will adore this glorious, elegant, charming perfume completely!",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8033488154585-xerjoff-casamorati-la-tosca.png,1403
Chopard Oud Malaki - 80 ml,"Composition of the new fragrance CHOPARD OUD MALAKI offers luminous accords of grapefruit in the very top of the composition, along with aromatic blend of artemisia and lavender. The heart accentuates masculinity with leather accords combined with tobacco and spices, while base notes highlight oriental notes with a combination of oud, ambergris and mysterious, dark, woody notes..",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chopard_perfumes_oud_malaki_eau_de_parfum_80ml.jpg,295
Uniqo Tempesta EDP - 100 ml,"A unique scent inspired by the magnetic force of Tempesta (Storm in Italian). This life-shifting power, chaotic yet undescribable with its' blend of marine accords, bay leaf & ambergris.",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/u/n/uniqo-tempesta.png,110
