title,description,imageUrl,price
Louis Vuitton Signature Acetate Sunglasses - Black,"The epitome of quiet luxury, these Louis Vuitton sunglasses are crafted from acetate in a rich black tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/sunglasses/all?lock=2514487944,540.00
Gucci Icon Gold-Plated Brass Necklace - Taupe,"Handfinished by master artisans, this Gucci necklace is crafted from gold-plated brass in a rich taupe tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/necklace/all?lock=3203640944,2780.00
Chanel Capsule Saffiano Leather Leather Gloves - Emerald,"A timeless investment piece, these Chanel leather gloves are crafted from saffiano leather in a rich emerald tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/leather-gloves/all?lock=412249637,360.00
Hermès City Suede Wallet - Blush Pink,"Designed to elevate everyday elegance, this Hermès wallet is crafted from suede in a rich blush pink tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/wallet/all?lock=2154629307,785.00
Prada Vintage Yellow Gold Vermeil Ring - Midnight Blue,"Born from decades of atelier craftsmanship, this Prada ring is crafted from yellow gold vermeil in a rich midnight blue tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/ring/all?lock=3041093797,2675.00
Dior Legacy Grained Leather Phone Case - Chocolate,"An icon of modern refinement, this Dior phone case is crafted from grained leather in a rich chocolate tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/phonecase/all?lock=982803248,355.00
Saint Laurent Elite Cashmere-Silk Blend Silk Scarf - Silver,"Crafted for the discerning collector, this Saint Laurent silk scarf is crafted from cashmere-silk blend in a rich silver tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/silk-scarf/all?lock=1792402773,540.00
Fendi Heritage Rabbit Felt Fedora Hat - Gold,"A statement of understated luxury, this Fendi fedora hat is crafted from rabbit felt in a rich gold tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/fedora/all?lock=1706297228,525.00
Bottega Veneta Riviera Python-Embossed Leather Leather Belt - Red,"The epitome of quiet luxury, this Bottega Veneta leather belt is crafted from python-embossed leather in a rich red tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/belt/all?lock=3813480096,800.00
Balenciaga Grand Platinum Earrings - Olive,"Handfinished by master artisans, these Balenciaga earrings are crafted from platinum in a rich olive tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/earrings/all?lock=4007081333,7265.00
Burberry Atelier Enamel and Crystal Hair Clip - Grey,"A timeless investment piece, this Burberry hair clip is crafted from enamel and crystal in a rich grey tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/hairclip/all?lock=2752227077,385.00
Versace Prestige Nappa Leather Coin Purse - Ivory,"Designed to elevate everyday elegance, this Versace coin purse is crafted from nappa leather in a rich ivory tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/coinpurse/all?lock=799232094,260.00
Givenchy Muse White Gold Cufflinks - Camel,"Born from decades of atelier craftsmanship, these Givenchy cufflinks are crafted from white gold in a rich camel tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/cufflinks/all?lock=2216781211,695.00
Valentino Reserve Two-Tone Steel and Gold Watch - Burgundy,"An icon of modern refinement, this Valentino watch is crafted from two-tone steel and gold in a rich burgundy tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/luxury-watch/all?lock=2491336582,19415.00
Celine Monogram 18K Gold Bracelet - Navy,"Crafted for the discerning collector, this Celine bracelet is crafted from 18k gold in a rich navy tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/bracelet/all?lock=146646768,3005.00
Loewe Milano Suede Keyring - Beige,"A statement of understated luxury, this Loewe keyring is crafted from suede in a rich beige tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/keyring/all?lock=2195560374,160.00
Miu Miu Mini Monogram Canvas Card Holder - Tan,"The epitome of quiet luxury, this Miu Miu card holder is crafted from monogram canvas in a rich tan tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/cardholder/all?lock=975471414,325.00
Chloé Editions Mulberry Silk Silk Tie - Brown,"Handfinished by master artisans, this Chloé silk tie is crafted from mulberry silk in a rich brown tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/necktie/all?lock=1517051194,280.00
Tom Ford Couture Bio-Acetate Sunglasses - Black,"A timeless investment piece, these Tom Ford sunglasses are crafted from bio-acetate in a rich black tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/sunglasses/all?lock=1383945298,450.00
Salvatore Ferragamo Nouveau White Gold Necklace - Taupe,"Designed to elevate everyday elegance, this Salvatore Ferragamo necklace is crafted from white gold in a rich taupe tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/necklace/all?lock=3636370818,8675.00
Alexander McQueen Signature Python-Embossed Leather Leather Gloves - Emerald,"Born from decades of atelier craftsmanship, these Alexander McQueen leather gloves are crafted from python-embossed leather in a rich emerald tone, presented in a premium keepsake box.",https://loremflickr.com/640/640/leather-gloves/all?lock=4068093730,565.00
Marc Jacobs Icon Smooth Leather Wallet - Blush Pink,"An icon of modern refinement, this Marc Jacobs wallet is crafted from smooth leather in a rich blush pink tone, featuring hand-stitched edges and a signature clasp.",https://loremflickr.com/640/640/wallet/all?lock=3318849490,845.00
Jimmy Choo Capsule Gold-Plated Brass Ring - Midnight Blue,"Crafted for the discerning collector, this Jimmy Choo ring is crafted from gold-plated brass in a rich midnight blue tone, showcasing the house's iconic hardware detailing.",https://loremflickr.com/640/640/ring/all?lock=2487885191,1740.00
Christian Louboutin City Nappa Leather Phone Case - Chocolate,"A statement of understated luxury, this Christian Louboutin phone case is crafted from nappa leather in a rich chocolate tone, finished with polished hardware and a fully lined interior.",https://loremflickr.com/640/640/phonecase/all?lock=1942393336,210.00
Mulberry Vintage Silk Twill Silk Scarf - Silver,"The epitome of quiet luxury, this Mulberry silk scarf is crafted from silk twill in a rich silver tone, with reinforced corners built to last a lifetime.",https://loremflickr.com/640/640/silk-scarf/all?lock=3345893875,1075.00
Louis Vuitton Legacy Rabbit Felt Fedora Hat - Gold,"Handfinished by master artisans, this Louis Vuitton fedora hat is crafted from rabbit felt in a rich gold tone, offering a versatile silhouette for day-to-night wear.",https://loremflickr.com/640/640/fedora/all?lock=631205090,465.00
Gucci Elite Saffiano Leather Leather Belt - Red,"A timeless investment piece, this Gucci leather belt is crafted from saffiano leather in a rich red tone, complete with a protective dust bag and authenticity card.",https://loremflickr.com/640/640/belt/all?lock=897575739,865.00
Chanel Heritage Rose Gold Earrings - Olive,"Designed to elevate everyday elegance, these Chanel earrings are crafted from rose gold in a rich olive tone, and an interior slip pocket for everyday essentials.",https://loremflickr.com/640/640/earrings/all?lock=1080319892,3510.00
